timestamp,device_id,temperature_c,humidity_percent
2026-01-02 02:03:31,bf7ecfc010164c849dwpqp,3,87
2026-01-02 02:03:31,bf58e5674b50680432umav,19,88
2026-01-02 02:03:31,bfefd09a22241b31b10cpo,9,84
